Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
600010,"2474DN A 1    SE-12-20-3-5    8,780 Sq. Feet",T,3,Commercial,I  Individual,45220,122900,0,168120,146 MAIN ST. N.W.,,,TV,2016
600015,2474DN 10'A 10    SE-12-20-3-5    250 Sq. Feet    10' X 25' = 250ft2,T,3,Commercial,I  Individual,2400,0,0,2400,103 EDGAR AVE. N.W.,,,TV,2016
600020,"2474DN A 1-3    SE-12-20-3-5    5,592 Sq. Feet    Portion of lots 1-3 West 48' of A & 1-3",T,3,Commercial,I  Individual,52100,1500,0,53600,105 EDGAR AVE. N.W.,,,TV,2016
600030,"0311914 26 34    SE-12-20-3-5    7,039 Sq. Feet",T,3,Commercial,C  Corporation,58100,237600,0,295700,140 MAIN ST. N.W.,,,TV,2016
600040,"0311914 26 35    SE-12-20-3-5    9,513 Sq. Feet",T,3,Commercial,C  Corporation,67300,0,0,67300,136 Main Street NW,,,TV,2016
600050,"2474DN  6,7    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,I  Individual,68300,126100,0,194400,132 MAIN ST. N.W.,,,TV,2016
600060,"2474DN  8-10    SE-12-20-3-5    12,410 Sq. Feet",T,3,Commercial,C  Corporation,71900,233400,0,305300,128 MAIN ST. N.W.,,,TV,2016
600070,"2474DN  10-13    SE-12-20-3-5    14,850 Sq. Feet    TEAM REALTY, GRANNYS PIZZA DIAMOND",T,3,Commercial,C  Corporation,94200,475500,0,569700,118 MAIN ST. N.W.,,,TV,2016
600080,"2474DN  14,15    SE-12-20-3-5    9,776 Sq. Feet    That Portion of Lot 14 West of Street",T,3,Commercial,C  Corporation,68300,235600,0,303900,112 MAIN ST. N.W.,,,TV,2016
600090,"2474DN  16,17    SE-12-20-3-5    9,776 Sq. Feet    52' X 188'",T,3,Commercial,C  Corporation,68300,205600,0,273900,108 MAIN ST. N.W.,,,TV,2016
600100,"2474DN  18,19    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,C  Corporation,68300,401200,0,469500,104 MAIN ST. N.W.,,,TV,2016
600105,"2474DN  20    SE-12-20-3-5    6,020 Sq. Feet",T,3,Commercial,C  Corporation,53900,6000,0,59900,102 MAIN ST. N.W.,,,TV,2016
600110,"2474DN  21-23    SE-12-20-3-5    15,040 Sq. Feet",T,3,Commercial,C  Corporation,94500,378800,0,473300,104 SUNSET BLVD. N.W.,,,TV,2016
600120,"2474DN  24    SE-12-20-3-5    4,890 Sq. Feet",T,3,Commercial,I  Individual,72400,0,0,72400,110 SUNSET BLVD. N.W.,,,TV,2016
600130,"2474DN  25,26    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,C  Corporation,85900,265000,0,350900,112 SUNSET BLVD. N.W.,,,TV,2016
600140,"2474DN  27,28    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,C  Corporation,85900,76100,0,162000,116 SUNSET BLVD. N.W.,,,TV,2016
600150,"2474DN  29    SE-12-20-3-5    4,890 Sq. Feet",T,3,Commercial,I  Individual,72400,0,0,72400,120 SUNSET BLVD. N.W.,,,TV,2016
600154,"2474DN  30,31    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,I  Individual,68300,110700,0,179000,122 SUNSET BLVD. N.W.,,,TV,2016
600157,"2474DN  32    SE-12-20-3-5    4,890 Sq. Feet",T,3,Commercial,I  Individual,72400,0,0,72400,126 SUNSET BLVD. N.W.,,,TV,2016
600160,"2474DN  33    SE-12-20-3-5    7,520 Sq. Feet",T,2,Residential,I  Individual,22370,43600,0,65970,130 SUNSET BLVD. N.W.,,,TV,2016
600160,"2474DN  33    SE-12-20-3-5    7,520 Sq. Feet",E,11,Institutional,I  Individual,67130,120300,0,187430,130 SUNSET BLVD. N.W.,,,TV,2016
602010,"7423DQ 2 1-3    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,94500,80200,0,174700,318 MAIN ST. N.W.,,,TV,2016
602020,"7423DQ 2 4,5    SE-12-20-3-5    6,000 Sq. Feet",T,3,Commercial,I  Individual,84400,89600,0,174000,314 MAIN ST. N.W.,,,TV,2016
602040,"7423DQ 2 6-9    SE-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,100400,124700,0,225100,306 MAIN ST. N.W.,,,TV,2016
602050,"7423DQ 2 10,11    SE-12-20-3-5    7,080 Sq. Feet    TURNER VALLEY MAIN STREET GAS STATION",T,3,Commercial,I  Individual,58200,281800,0,340000,302 MAIN ST. N.W.,,,TV,2016
602060,"8054EK 2 12,E13    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,83700,137800,0,221500,108 FRONTENAC AVE. N.W.,,,TV,2016
602070,"8054EK 2 13,14    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,83700,195600,0,279300,110 FRONTENAC AVE. N.W.,,,TV,2016
602080,"8054EK 2 15,16    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,90800,177500,0,268300,112 FRONTENAC AVE. N.W.,,,TV,2016
602090,"8054EK 2 17,P18    SE-12-20-3-5    5,020 Sq. Feet    42.9' X 116.8'",T,2,Residential,I  Individual,73800,229200,0,303000,114 FRONTENAC AVE. N.W.,,,TV,2016
602100,"8054EK 2 P18,19    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,59700,74300,0,134000,116 FRONTENAC AVE. N.W.,,,TV,2016
602110,"8054EK 2 19,20    SE-12-20-3-5    5,940 Sq. Feet    Westerly 17' of lot 19 all of lot 20",T,2,Residential,I  Individual,83700,216300,0,300000,118 FRONTENAC AVE. N.W.,,,TV,2016
602120,"8054EK 2 21    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,59700,168200,0,227900,120 FRONTENAC AVE. N.W.,,,TV,2016
602130,"8054EK 2 22,23    SE-12-20-3-5    7,520 Sq. Feet",T,2,Residential,I  Individual,89500,45500,0,135000,122 FRONTENAC AVE. N.W.,,,TV,2016
602140,"8054EK 2 23,24    SE-12-20-3-5    3,400 Sq. Feet    West 20' & North 20' of Lot 23",T,2,Residential,I  Individual,50300,86200,0,136500,124 FRONTENAC AVE. N.W.,,,TV,2016
602150,"8054EK 2 25-W27    SE-12-20-3-5    14,470 Sq. Feet",E,11,Institutional,C  Corporation,103400,488100,0,591500,125 ROYAL AVE. N.W.,,,TV,2016
602160,"8054EK 2 27-29    SE-12-20-3-5    9,220 Sq. Feet",T,2,Residential,I  Individual,95200,124900,0,220100,115 ROYAL AVE. N.W.,,,TV,2016
602170,"8054EK 2 29-31    SE-12-20-3-5    10,800 Sq. Feet    3-(25') X 144' Lots Tied By Imps & C/T",T,2,Residential,I  Individual,94000,211500,0,305500,113 ROYAL AVE. N.W.,,,TV,2016
602180,"8054EK 2 31,32    SE-12-20-3-5    7,060 Sq. Feet",T,2,Residential,I  Individual,87900,177100,0,265000,111 ROYAL AVE. N.W.,,,TV,2016
602190,"8054EK 2 33,P34    SE-12-20-3-5    7,200 Sq. Feet",T,2,Residential,I  Individual,88400,112700,0,201100,109 ROYAL AVE. N.W.,,,TV,2016
602200,"8054EK 2 34,35    SE-12-20-3-5    7,060 Sq. Feet",T,2,Residential,I  Individual,87900,105100,0,193000,107 ROYAL AVE. N.W.,,,TV,2016
602210,"8054EK 2 36    SE-12-20-3-5    4,750 Sq. Feet",T,2,Residential,I  Individual,70900,209500,0,280400,105 ROYAL AVE. N.W.,,,TV,2016
603010,"7423DQ 3 1-5    SE-12-20-3-5    15,000 Sq. Feet    125' X 120'",T,3,Commercial,C  Corporation,74900,89900,0,164800,220 MAIN ST. N.W.,,,TV,2016
603030,"7423DQ 3 6,7    SE-12-20-3-5    6,000 Sq. Feet    50' X 120'",T,3,Commercial,C  Corporation,53800,26500,0,80300,210 MAIN ST. N.W.,,,TV,2016
603040,"7423DQ 3 8,9    SE-12-20-3-5    6,000 Sq. Feet",T,3,Commercial,C  Corporation,84400,160300,0,244700,206 MAIN ST. N.W.,,,TV,2016
603050,"7423DQ 3 10,11    SE-12-20-3-5    6,000 Sq. Feet    50' X 120'",T,3,Commercial,C  Corporation,53800,298100,0,351900,202 MAIN STREET NORTH WEST,,,TV,2016
603060,"2229EW 3 12    SE-12-20-3-5    6,300 Sq. Feet",T,2,Residential,I  Individual,85400,137600,0,223000,108 EDGAR AVE. N.W.,,,TV,2016
603070,"2229EW 3 13    SE-12-20-3-5    6,300 Sq. Feet",T,2,Residential,I  Individual,85400,105500,0,190900,110 EDGAR AVE. N.W.,,,TV,2016
603080,"2229EW 3 14,15    SE-12-20-3-5    8,160 Sq. Feet",T,2,Residential,I  Individual,91700,172900,0,264600,114 EDGAR AVE. N.W.,,,TV,2016
603090,"2229EW 3 16,17    SE-12-20-3-5    8,060 Sq. Feet    64' X 125' Lot Size",T,2,Residential,I  Individual,91300,157600,0,248900,118 EDGAR AVE. N.W.,,,TV,2016
603100,"2229EW 3 18    SE-12-20-3-5    4,160 Sq. Feet",T,2,Residential,I  Individual,63100,54100,0,117200,120 EDGAR AVE. N.W.,,,TV,2016
603110,"2229EW 3 19,P20    SE-12-20-3-5    7,560 Sq. Feet",T,2,Residential,I  Individual,89600,232400,0,322000,122 EDGAR AVE. N.W.,,,TV,2016
603120,"2229EW 3 PT20    SE-12-20-3-5    6,300 Sq. Feet",T,2,Residential,I  Individual,85400,214800,0,300200,124 EDGAR AVE. N.W.,,,TV,2016
603130,"2229EW 3 21    SE-12-20-3-5    7,060 Sq. Feet",T,2,Residential,I  Individual,87900,101500,0,189400,201 HUBERT ST. N.W.,,,TV,2016
603140,"2229EW 3 22    SE-12-20-3-5    5,290 Sq. Feet",T,2,Residential,I  Individual,76700,83400,0,160100,121 FRONTENAC AVE. N.W.,,,TV,2016
603150,"2229EW 3 23    SE-12-20-3-5    6,450 Sq. Feet",T,2,Residential,I  Individual,85900,254400,0,340300,119 FRONTENAC AVE. N.W.,,,TV,2016
603160,"2229EW 3 24    SE-12-20-3-5    6,450 Sq. Feet",T,2,Residential,I  Individual,85900,114000,0,199900,117 FRONTENAC AVE. N.W.,,,TV,2016
603170,"2229EW 3 25    SE-12-20-3-5    5,160 Sq. Feet    Westerly 40' of Lot 25",T,2,Residential,I  Individual,75300,119800,0,195100,115 FRONTENAC AVE. N.W.,,,TV,2016
603175,"2229EW 3 25-27    SE-12-20-3-5    9,550 Sq. Feet",T,2,Residential,I  Individual,96400,40700,0,137100,113 FRONTENAC AVE. N.W.,,,TV,2016
603190,"2229EW 3 28,29    SE-12-20-3-5    8,514 Sq. Feet",T,2,Residential,I  Individual,92900,102600,0,195500,109 FRONTENAC AVE. N.W.,,,TV,2016
603200,"2229EW 3 W.30    SE-12-20-3-5    3,230 Sq. Feet",T,2,Residential,I  Individual,56900,153400,0,210300,107B FRONTENAC AVE. N.W.,,,TV,2016
603210,"2229EW 3 E.30    SE-12-20-3-5    3,230 Sq. Feet",T,2,Residential,I  Individual,56900,137700,0,194600,107A FRONTENAC AVE. N.W.,,,TV,2016
603220,"2229EW 3 W31    SE-12-20-3-5    3,230 Sq. Feet",T,2,Residential,I  Individual,47400,156400,0,203800,105B FRONTENAC AVE. N.W.,,,TV,2016
603230,"2229EW 3 E31    SE-12-20-3-5    3,230 Sq. Feet",T,2,Residential,I  Individual,47400,150300,0,197700,105A FRONTENAC AVE. N.W.,,,TV,2016
604010,"7423DQ 4 1,2    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,90800,139000,0,229800,210 SUNSET BLVD. N.W.,,,TV,2016
604020,"7423DQ 4 3    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,59700,50700,0,110400,212 SUNSET BLVD. N.W.,,,TV,2016
604030,"7423DQ 4 4,P5    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,83700,117400,0,201100,214 SUNSET BLVD. N.W.,,,TV,2016
604040,"7423DQ 4 W5,6    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,83700,183000,0,266700,216 SUNSET BLVD. N.W.,,,TV,2016
604050,"7423DQ 4 7    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,59700,37000,0,96700,218 SUNSET BLVD. N.W.,,,TV,2016
604060,"7423DQ 4 8    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,59700,40300,0,100000,220 SUNSET BLVD. N.W.,,,TV,2016
604070,"7423DQ 4 9,10    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,90800,80900,0,171700,222 SUNSET BLVD. NW,,,TV,2016
604080,"7423DQ 4 11-12    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,90800,152000,0,242800,224 SUNSET BLVD. N.W.,,,TV,2016
604090,"7423DQ 4 13    SE-12-20-3-5    6,360 Sq. Feet",T,2,Residential,I  Individual,85600,114100,0,199700,226 SUNSET BLVD. N.W.,,,TV,2016
604100,"8054EK 4 14    SE-12-20-3-5    5,880 Sq. Feet    Less West 1' of Lot",T,2,Residential,I  Individual,88900,158000,0,246900,202 Sunset Blvd. N.W.,,,TV,2016
604105,"8054EK 4 14,15    SE-12-20-3-5    6,120 Sq. Feet    All of 15 & E. 1' of 16 51' X 120'",T,2,Residential,I  Individual,90700,133000,0,223700,204 SUNSET BLVD. N.W.,,,TV,2016
604110,"8054EK 4 15,16    SE-12-20-3-5    5,970 Sq. Feet",T,2,Residential,I  Individual,84100,160800,0,244900,206 SUNSET BLVD. N.W.,,,TV,2016
604120,"8054EK 4 17    SE-12-20-3-5    6,000 Sq. Feet    50' X 120'",T,2,Residential,I  Individual,84400,118100,0,202500,208 SUNSET BLVD. N.W.,,,TV,2016
604130,"8054EK 4 PT18    SE-12-20-3-5    10,810 Sq. Feet",T,2,Residential,I  Individual,98900,66800,0,165700,106 HUBERT ST. N.W.,,,TV,2016
604140,"3603FD 4 19    SE-12-20-3-5    8,270 Sq. Feet",T,2,Residential,I  Individual,115000,487400,0,602400,201 WINDSOR AVE. N.W.,,,TV,2016
604150,"9212439 4 18A    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,84400,40600,0,125000,203 WINDSOR AVE. N.W.,,,TV,2016
604160,"3603FD 4 20,P21    SE-12-20-3-5    6,600 Sq. Feet",T,2,Residential,I  Individual,86400,82600,0,169000,207 WINDSOR AVE. N.W.,,,TV,2016
604170,"3603FD 4 P21,22    SE-12-20-3-5    11,280 Sq. Feet",T,2,Residential,I  Individual,99500,141600,0,241100,211 WINDSOR AVE. NW,,,TV,2016
604180,"1178LK 4 23A    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,94500,242300,0,336800,213 WINDSOR AVE. N.W.,,,TV,2016
604190,"1178LK 4 24A    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,94500,179600,0,274100,215 WINDSOR AVE. N.W.,,,TV,2016
604200,"3603FD 4 26    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,84400,70600,0,155000,217 WINDSOR AVE. N.W.,,,TV,2016
604210,"3603FD 4 27    SE-12-20-3-5    6,000 Sq. Feet    50' X 120'",T,2,Residential,I  Individual,84400,144000,0,228400,219 WINDSOR AVE. N.W.,,,TV,2016
604220,"3603FD 4 28    SE-12-20-3-5    6,000 Sq. Feet    50' X 120' Lot Area",T,2,Residential,I  Individual,84400,203000,0,287400,221 WINDSOR AVE. N.W.,,,TV,2016
605010,"7423DQ 5 1,E2    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,92300,89600,0,181900,302 SUNSET BLVD. N.W.,,,TV,2016
605020,"7423DQ 5 2-4    SE-12-20-3-5    9,900 Sq. Feet",T,2,Residential,I  Individual,107500,123900,0,231400,304 SUNSET BLVD. N.W.,,,TV,2016
605030,"7423DQ 5 5,6    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,100200,110200,0,210400,306 SUNSET BLVD. N.W.,,,TV,2016
605040,"7423DQ 5 7,EB    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,92300,84900,0,177200,308 SUNSET BLVD. N.W.,,,TV,2016
605050,"7423DQ 5 W8,9    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,92300,121000,0,213300,310 SUNSET BLVD. N.W.,,,TV,2016
605060,"7423DQ 5 10,11    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,100200,111500,0,211700,312 SUNSET BLVD. N.W.,,,TV,2016
605070,"9311679 5 34    SE-12-20-3-5    5,930 Sq. Feet",T,2,Residential,I  Individual,92200,79300,0,171500,314 SUNSET BLVD. N.W.,,,TV,2016
605075,"9311679 5 35    SE-12-20-3-5    5,930 Sq. Feet",T,2,Residential,I  Individual,92200,182600,0,274800,316 SUNSET BLVD. N.W.,,,TV,2016
605078,"7423DQ 5 15-17    SE-12-20-3-5    11,880 Sq. Feet",T,2,Residential,I  Individual,110400,130500,0,240900,320 SUNSET BLVD. N.W.,,,TV,2016
605090,"7423DQ 5 18,19    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,100200,75500,0,175700,324 SUNSET BLVD. N.W.,,,TV,2016
605100,"7423DQ 5 20    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,65800,104100,0,169900,328 SUNSET BLVD. N.W.,,,TV,2016
605110,"3603FD 5 21,W22    SE-12-20-3-5    10,200 Sq. Feet",T,2,Residential,I  Individual,108200,214000,0,322200,321 WINDSOR AVE. N.W.,,,TV,2016
605120,"3603FD 5 E22P23    SE-12-20-3-5    7,800 Sq. Feet",T,2,Residential,I  Individual,99700,121900,0,221600,319 WINDSOR AVE. N.W.,,,TV,2016
605125,"3603FD 5 P23,24    SE-12-20-3-5    7,200 Sq. Feet",T,2,Residential,I  Individual,97500,201000,0,298500,317 WINDSOR AVE. N.W.,,,TV,2016
605130,"3603FD 5 25    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,167500,0,260500,315 WINDSOR AVE. N.W.,,,TV,2016
605135,"3603FD 5 W26    SE-12-20-3-5    5,400 Sq. Feet",T,2,Residential,I  Individual,85900,187800,0,273700,313 WINDSOR AVE. N.W.,,,TV,2016
605140,"3603FD 5 E26,27    SE-12-20-3-5    6,600 Sq. Feet",T,2,Residential,I  Individual,95200,181200,0,276400,311 WINDSOR AVE. N.W.,,,TV,2016
605150,"3603FD 5 28    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,146900,0,239900,309 WINDSOR AVE. N.W.,,,TV,2016
605160,"3603FD 5 29,W30    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,104200,161600,0,265800,307 WINDSOR AVE. N.W.,,,TV,2016
605170,"3603FD 5 E30,31    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,104200,151900,0,256100,305 WINDSOR AVE. NW,,,TV,2016
605180,"3603FD 5 32,33    SE-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,118300,385100,0,503400,301 WINDSOR AVE. N.W.,,,TV,2016
606010,"3138FM 6 E1    SE-12-20-3-5    4,500 Sq. Feet",T,2,Residential,I  Individual,82700,117600,0,200300,401A WINDSOR AVE. N.W.,,,TV,2016
606020,"3138FM 6 W1    SE-12-20-3-5    4,500 Sq. Feet",T,2,Residential,I  Individual,82700,107400,0,190100,401B WINDSOR AVE. N.W.,,,TV,2016
606030,"3138FM 6 2    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,104200,120400,0,224600,403 WINDSOR AVE. N.W.,,,TV,2016
606040,"3138FM 6 3    SE-12-20-3-5    10,560 Sq. Feet",E,11,Institutional,P  Provincial,108600,404300,0,512900,405 WINDSOR AVE. N.W.,,,TV,2016
606050,"3138FM 6 4,5    SE-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,110600,208100,0,318700,407 WINDSOR AVE. N.W.,,,TV,2016
606060,"3138FM 6 6    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,206200,0,299200,411 WINDSOR AVE. N.W.,,,TV,2016
606070,"3138FM 6 7    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,163600,0,256600,413 WINDSOR AVE. N.W.,,,TV,2016
606080,"3138FM 6 8    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,154900,0,247900,415 WINSOR AVE. N.W.,,,TV,2016
606090,"3138FM 6 9    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,163900,0,256900,417 WINDSOR AVE. N.W.,,,TV,2016
606510,"7423DQ 6 1,2    SE-12-20-3-5    5,160 Sq. Feet    All of Lot 1 and East 10' of Lot 2",T,2,Residential,I  Individual,83000,41900,0,124900,402 SUNSET BLVD. N.W.,,,TV,2016
606520,"7423DQ 6 W2,3    SE-12-20-3-5    6,720 Sq. Feet    Portion of lot 2 west of the easterly 10",T,2,Residential,I  Individual,95700,165800,0,261500,404 SUNSET BOULEVARD N.W.,,,TV,2016
606525,"7423DQ 6 4-6    SE-12-20-3-5    11,880 Sq. Feet",T,2,Residential,I  Individual,110400,184100,0,294500,406 SUNSET BLVD. N.W.,,,TV,2016
606540,"7423DQ 6 7,8    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,100200,150100,0,250300,410 SUNSET BLVD. N.W.,,,TV,2016
606550,"7423DQ 6 9,P10    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,92300,57500,0,149800,414 SUNSET BLVD. N.W.,,,TV,2016
606560,"7423DQ 6 10,11    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,92300,156800,0,249100,416 SUNSET BLVD. N.W.,,,TV,2016
606570,"7423DQ 6 12,13    SE-12-20-3-5    5,940 Sq. Feet    49.5' X 120' All of Lot 12 Ptn. of 13",T,2,Residential,I  Individual,92300,129800,0,222100,418 SUNSET BLVD. N.W.,,,TV,2016
606580,"7423DQ 6 13-15    SE-12-20-3-5    7,920 Sq. Feet    66' X 120'",T,2,Residential,I  Individual,100200,105600,0,205800,420 SUNSET BLVD. N.W.,,,TV,2016
606590,"7423DQ 6 15,16    SE-12-20-3-5    7,080 Sq. Feet    59' X 120'",T,2,Residential,I  Individual,97000,147300,0,244300,422 SUNSET BLVD. N.W.,,,TV,2016
607010,"3138FM 7 10    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,231300,0,324300,151 JOHN ST. N.W.,,,TV,2016
607020,"3138FM 7 11,12    SE-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,110600,197200,0,307800,418 WINDSOR AVE. NW,,,TV,2016
607030,"3138FM 7 13,14    SE-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,110600,142300,0,252900,412 WINDSOR AVE. N.W.,,,TV,2016
607040,"3138FM 7 15,16    SE-12-20-3-5    9,600 Sq. Feet",T,2,Residential,I  Individual,106400,210700,0,317100,410 WINSOR AVE. N.W.,,,TV,2016
