Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
2600,"2298DR 2 N80' 8    NE-8-20-2-5    7,200 Sq. Feet",T,2,Residential,I  Individual,120700,98500,0,219200,220 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
2700,"2298DR 3 W60' 1    NE-8-20-2-5    6,000 Sq. Feet",T,3,Commercial,C  Corporation,0,0,559700,559700,127 CENTRE AVENUE WEST,NR  LAND & IMPROVEMENTS,SANDUL'S PHARMACY & DRUG STORE,DV,2023
2800,"2298DR 3 W60"" 1    NE-8-20-2-5    4,200 Sq. Feet",T,3,Commercial,C  Corporation,0,0,191900,191900,110 1ST ST. S.W.,NR  LAND & IMPROVEMENTS,,DV,2023
2900,"2298DR 3 W35' 1    NE-8-20-2-5    5,950 Sq. Feet",T,3,Commercial,C  Corporation,0,0,328500,328500,121 CENTRE AVENUE WEST,NR  LAND & IMPROVEMENTS,SODA SHOP & DIAMOND TREASURES,DV,2023
3000,"2298DR 3 E33' 1    NE-8-20-2-5    5,610 Sq. Feet",T,3,Commercial,C  Corporation,0,0,338000,338000,119 CENTRE AVENUE WEST,NR  LAND & IMPROVEMENTS,BLACK DIAMOND BAKERY AND COFFEE SHOP,DV,2023
3100,"2298DR 3 W26' 1    NE-8-20-2-5    4,420 Sq. Feet",T,3,Commercial,C  Corporation,0,0,119600,119600,117 CENTRE AVENUE WEST,NR  LAND & IMPROVEMENTS,,DV,2023
3200,"2298DR 3 E26' 1    NE-8-20-2-5    4,420 Sq. Feet",T,3,Commercial,C  Corporation,0,0,108300,108300,115 CENTRE AVENUE WEST,NR  LAND & IMPROVEMENTS,,DV,2023
3300,"2298DR 3 W1/2 2    NE-8-20-2-5    5,950 Sq. Feet",T,3,Commercial,C  Corporation,0,0,124000,124000,111 CENTRE AVENUE WEST,NR  LAND & IMPROVEMENTS,OWNED BY BLACK DIAMOND HOTEL / STORAGE,DV,2023
3400,"2298DR 3 W1/2 2    NE-8-20-2-5    5,100 Sq. Feet",T,3,Commercial,C  Corporation,0,0,125200,125200,109 CENTRE AVENUE WEST,NR  LAND & IMPROVEMENTS,COOL HAND LUC'S TREASURE SHOP,DV,2023
3500,"2298DR 3 E115'2    NE-8-20-2-5    19,550 Sq. Feet",T,3,Commercial,C  Corporation,0,0,1337700,1337700,105 CENTRE AVENUE WEST,NR  LAND & IMPROVEMENTS,,DV,2023
3600,"2298DR 3 3    NE-8-20-2-5    13,920 Sq. Feet",T,3,Commercial,C  Corporation,0,0,249600,249600,123 GOVERNMENT RD. S.,NR  LAND & IMPROVEMENTS,,DV,2023
3700,"2298DR 3 E110'4    NE-8-20-2-5    9,900 Sq. Feet",T,3,Commercial,C  Corporation,0,0,263500,263500,115 GOVERNMENT RD. S.,NR  LAND & IMPROVEMENTS,,DV,2023
3800,"2298DR 3 W50' 4    NE-8-20-2-5    4,500 Sq. Feet",T,3,Commercial,C  Corporation,114400,0,0,114400,108 1ST AVE. S.W.,NR  LAND,,DV,2023
3900,"2298DR 3 5    NE-8-20-2-5    15,300 Sq. Feet",T,3,Commercial,I  Individual,144200,43100,0,187300,112 1ST AVENUE S.W.,NR  LAND & IMPROVEMENTS,,DV,2023
4100,"2298DR 3 S95' 6    NE-8-20-2-5    3,825 Sq. Feet",T,2,Residential,I  Individual,70000,89500,0,159500,120 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
4200,"2298DR 3 S95' 6    NE-8-20-2-5    4,730 Sq. Feet",T,2,Residential,I  Individual,83200,97500,0,180700,118 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
4300,"2298DR 3 N75' 6    NE-8-20-2-5    6,750 Sq. Feet",T,3,Commercial,C  Corporation,0,0,1020500,1020500,114 1ST ST. S.W.,NR  LAND & IMPROVEMENTS,,DV,2023
4400,"2298DR 4 N1/2 1    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,155600,0,281400,202 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
4500,"2298DR 4 S1/2 1    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,111200,0,237000,210 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
4600,"2298DR 4 2    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,95600,0,245900,113 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
4700,"2298DR 4 3    NE-8-20-2-5    8,000 Sq. Feet",T,3,Commercial,C  Corporation,0,0,266100,266100,201 GOVERNMENT RD. S.,NR  LAND & IMPROVEMENTS,,DV,2023
4750,"2298DR 4 3    NE-8-20-2-5    6,400 Sq. Feet",T,3,Commercial,C  Corporation,80900,0,0,80900,201A Government Road South,NR  LAND,,DV,2023
4800,"2298DR 4 4    NE-8-20-2-5    14,400 Sq. Feet",T,2,Residential,I  Individual,149600,147200,0,296800,207 GOVERNMENT RD. S.,R    LAND & IMPROVEMENTS,,DV,2023
4900,"2298DR 4 5    NE-8-20-2-5    14,400 Sq. Feet",T,3,Commercial,C  Corporation,0,0,407500,407500,213 GOVERNMENT RD. S.,NR  LAND & IMPROVEMENTS,,DV,2023
5000,"8311534 4 9    NE-8-20-2-5    3,960 Sq. Feet",T,3,Commercial,C  Corporation,85100,10800,0,95900,100 2ND AVENUE S.W.,NR  LAND & IMPROVEMENTS,CHINOOK TRUCK & AUTO USED SALES,DV,2023
5100,"8311534 4 10    NE-8-20-2-5    3,960 Sq. Feet",T,3,Commercial,C  Corporation,85100,0,0,85100,110 2ND AVENUE S.W.,NR  LAND,,DV,2023
5200,"8311534 4 11    NE-8-20-2-5    6,480 Sq. Feet",T,2,Residential,I  Individual,109900,108200,0,218100,114 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
5300,"2298DR 4 7    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,170400,0,320700,116 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
5400,"2298DR 4 E1/2 8    NE-8-20-2-5    7,627 Sq. Feet",T,2,Residential,I  Individual,125500,85000,0,210500,120 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
5500,"2298DR 4 W1/2 8    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,126800,0,252600,122 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
5600,"2298DR 5 1    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,165400,0,315700,202 2ND ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
5700,"2298DR 5 W1/2 2    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,145900,0,271700,219 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
5800,"2298DR 5 E1/2 2    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,68900,0,194700,215 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
5900,"2298DR 5 W45' 4    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,169100,0,294900,211 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
6000,"2298DR 5 E45' 3    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,195000,0,320800,209 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
6100,"2298DR 5 W1/2 4    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,100000,0,225800,205 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
6200,"2298DR 5 E1/2 4    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,46120,72400,0,118520,201 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
6200,"2298DR 5 E1/2 4    NE-8-20-2-5    7,650 Sq. Feet",T,3,Commercial,I  Individual,69180,118900,0,188080,201 1ST AVE. S.W.,NR,,DV,2023
6400,"2298DR 5 5    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,206400,0,356700,215 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
6500,"2298DR 5 N50' 6    NE-8-20-2-5    4,500 Sq. Feet",T,2,Residential,I  Individual,79800,33900,0,113700,212 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
6600,"2298DR 5 S120'6    NE-8-20-2-5    10,800 Sq. Feet",T,2,Residential,I  Individual,147000,107500,0,254500,210 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
6700,"2298DR 5 E65' 7    NE-8-20-2-5    11,050 Sq. Feet",T,2,Residential,I  Individual,147100,211400,0,358500,214 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
6800,"7810981 5 8    NE-8-20-2-5    6,330 Sq. Feet",T,2,Residential,I  Individual,107400,210100,0,317500,218 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
6900,"7810981 5 9    NE-8-20-2-5    6,900 Sq. Feet",T,2,Residential,I  Individual,116800,229500,0,346300,220 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
7000,"7810981 5 10    NE-8-20-2-5    6,325 Sq. Feet",T,2,Residential,I  Individual,107300,205000,0,312300,222 2ND ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
7100,"2298DR 6 1    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,130500,0,280800,325 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
7200,"2298DR 6 W1/2 2    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,117800,0,243600,321 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
7300,"2298DR 6 E1/2 2    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,256900,0,382700,317 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
7400,"2298DR 6 W48' 3    NE-8-20-2-5    8,160 Sq. Feet",T,2,Residential,I  Individual,131500,127200,0,258700,313 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
7500,"2298DR 6 E42' 3    NE-8-20-2-5    7,140 Sq. Feet",T,2,Residential,I  Individual,120000,134900,0,254900,309 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
7600,"2298DR 6 W1/2 4    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,101100,0,226900,305 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
7700,"2298DR 6 E1/2 4    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,214500,0,340300,301 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
7800,"9913109 6 10    NE-8-20-2-5    9,017 Sq. Feet",T,2,Residential,I  Individual,138600,75300,0,213900,302 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
7850,"9913109 6 9    NE-8-20-2-5    6,142 Sq. Feet",T,2,Residential,I  Individual,109500,232400,0,341900,211 2ND STREET S.W.,R    LAND & IMPROVEMENTS,,DV,2023
7900,"2298DR 6 6    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,166600,0,316900,308 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
8000,"2298DR 6 E1/2 7    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,113200,0,239000,314 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
8100,"2298DR 6 W1/2 7    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,163100,0,288900,318 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
8200,"2298DR 6 8    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,190400,0,340700,322 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
8300,"7910680 7B 1    NE-8-20-2-5    6,050 Sq. Feet",T,2,Residential,I  Individual,102800,290000,0,392800,310 3RD STREET S.W.,R    LAND & IMPROVEMENTS,,DV,2023
8400,"7910680 7B 2    NE-8-20-2-5    5,500 Sq. Feet",T,2,Residential,I  Individual,99100,229200,0,328300,308 3RD ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
8500,"7910680 7B 3    NE-8-20-2-5    6,500 Sq. Feet",T,2,Residential,I  Individual,110200,207300,0,317500,306 3RD ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
8600,"7910680 7B 4    NE-8-20-2-5    6,500 Sq. Feet",T,2,Residential,I  Individual,110200,165200,0,275400,304 3RD ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
8700,"7910680 7B 5    NE-8-20-2-5    5,500 Sq. Feet",T,2,Residential,I  Individual,94400,203700,0,298100,302 3RD ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
8800,"7910680 7B 6    NE-8-20-2-5    6,000 Sq. Feet",T,2,Residential,I  Individual,102000,144100,0,246100,321 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
8900,"7910680 7B 7    NE-8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,115700,0,261800,311 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
9000,"7910680 7B 8    NE-8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,211400,0,357500,310 3RD AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
9100,"2298DR 7 2    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,139900,0,290200,307 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
9200,"2298DR 7 3    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,243500,0,393800,303 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
9300,"7611343 7A 1    NE-8-20-2-5    9,350 Sq. Feet",T,2,Residential,I  Individual,140700,125700,0,266400,302 3RD AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
9400,"7611343 7A 2    NE-8-20-2-5    9,350 Sq. Feet",T,2,Residential,I  Individual,140700,193600,0,334300,305 2ND ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
9500,"7611343 7A 3    NE-8-20-2-5    11,900 Sq. Feet",T,2,Residential,I  Individual,147800,161700,0,309500,308 3RD AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
9600,"2298DR 8 1    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,199300,0,349600,219 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
9700,"2298DR 8 2    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,145900,0,296200,215 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
9800,"2298DR 8 W1/2 3    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,123800,0,249600,209 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
9900,"2298DR 8 E1/2 3    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,154600,0,280400,207 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
10000,"2298DR 8 W1/2 4    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,98800,0,224600,205 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
10100,"2298DR 8 E1/2 4    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,128100,0,253900,201 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
10200,"2298DR 8 S85' 5    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,116300,0,242100,206 3RD AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
10300,"2298DR 8 N85' 5    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,178000,0,303800,311 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
10400,"2298DR 8 6    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,107600,0,257900,210 3RD AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
10500,"2298DR 8 E1/2 7    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,143800,0,269600,214 3RD AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
10600,"2298DR 8 W1/2 7    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,119600,0,245400,218 3RD AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
10700,"9811437 8 10    NE-8-20-2-5    7,133 Sq. Feet",T,2,Residential,F  Federal,119900,115200,0,235100,222 3RD AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
10750,"9811437 8 9    NE-8-20-2-5    8,178 Sq. Feet",T,2,Residential,I  Individual,131700,157300,0,289000,306 2ND STREET S.W.,R    LAND & IMPROVEMENTS,,DV,2023
10800,"2298DR 9 N85' 1    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,123700,0,249500,121 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
10900,"2298DR 9 S85' 1    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,225500,0,351300,308 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
11000,"2298DR 9 2    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,230400,0,380700,113 2ND AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
11100,"2298DR 9 3    NE-8-20-2-5    14,400 Sq. Feet",T,2,Residential,I  Individual,71150,156650,0,227800,301 GOVERNMENT RD. S.,R    LAND & IMPROVEMENTS,,DV,2023
11100,"2298DR 9 3    NE-8-20-2-5    14,400 Sq. Feet",T,3,Commercial,I  Individual,71150,156650,0,227800,301 GOVERNMENT RD. S.,NR,,DV,2023
11300,"2298DR 9 4,5    NE-8-20-2-5    28,800 Sq. Feet",T,3,Commercial,C  Corporation,189300,0,0,189300,309 GOVERNMENT RD. S.,NR  LAND,,DV,2023
11400,"0110674 9 11    NE-8-20-2-5    7,200 Sq. Feet",T,2,Residential,I  Individual,127100,92800,0,219900,106 3RD AVENUE S.W.,R    LAND & IMPROVEMENTS,,DV,2023
11410,"0110674 9 10    NE-8-20-2-5    7,200 Sq. Feet",T,2,Residential,I  Individual,120700,230100,0,350800,102 3RD AVENUE S.W.,R    LAND & IMPROVEMENTS,,DV,2023
11500,"2298DR 9 W45' 7    NE-8-20-2-5    7,650 Sq. Feet",T,6,Residential Multi Family,I  Individual,125800,132800,0,258600,118 3RD AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
11600,"2298DR 9 E45' 7    NE-8-20-2-5    7,650 Sq. Feet",T,6,Residential Multi Family,I  Individual,125800,136100,0,261900,116 3RD AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
11700,"7410864 9 8    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,187500,0,313300,324 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
11800,"7410864 9 9    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,I  Individual,125800,177100,0,302900,122 3RD AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
11900,"4061EC 10 1    NE-8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,221200,0,367300,402 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
12000,"4061EC 10 2    NE-8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,145200,0,291300,406 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
12100,"4061EC 10 3    NE-8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,149600,0,295700,410 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
12200,"4061EC 10 4    E -8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,217100,0,363200,414 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
12300,"4061EC 10 5    NE-8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,484800,0,630900,418 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
12400,"4061EC 10 6    NE-8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,245300,0,391400,417 GOVERNMENT RD. S.,R    LAND & IMPROVEMENTS,,DV,2023
12500,"4061EC 10 7    NE-8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,121600,0,267700,413 GOVERNMENT RD. S.,R    LAND & IMPROVEMENTS,,DV,2023
12600,"4061EC 10 8    NE-8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,175600,0,321700,409 GOVERNMENT RD. S.,R    LAND & IMPROVEMENTS,,DV,2023
12700,"4061EC 10 9    E -8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,70000,0,216100,405 GOVERNMENT RD. S.,R    LAND & IMPROVEMENTS,,DV,2023
12800,"4061EC 10 10    NE-8-20-2-5    10,200 Sq. Feet",T,3,Commercial,C  Corporation,146100,145500,0,291600,401 GOVERNMENT RD. S.,NR  LAND & IMPROVEMENTS,EASTERN SLOPES VETERINARY SERVICES,DV,2023
12900,"4061EC 11 1    NE-8-20-2-5    10,200 Sq. Feet",T,2,Residential,I  Individual,146100,178200,0,324300,502 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
