Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
500150,8054EK A 18    SW-12-20-3-5,T,2,Residential,I  Individual,91100,151800,0,242900,501 WINDSOR AVE. NW,R        LAND & IMPROVEMENTS,,TV,2020
500160,8054EK B 1    SW-12-20-3-5,T,2,Residential,I  Individual,93900,99300,0,193200,502 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500170,8054EK B 2    SW-12-20-3-5,T,2,Residential,I  Individual,93900,127200,0,221100,504 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500180,8054EK B 3    SW-12-20-3-5,T,2,Residential,I  Individual,110500,77200,0,187700,156 JOHN ST. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500200,8054EK B 4    SW-12-20-3-5,E,10,Municipal Public Lands-Exempt,M  Municipal,193900,427700,0,621600,514 WINDSOR AVE. N.W.,NR      LAND & IMPROVEMENTS,TOWN OF TURNER VALLEY TOWN OFFICE,TV,2020
500250,8054EK B 5    SW-12-20-3-5,E,10,Municipal Public Lands-Exempt,M  Municipal,193900,101100,0,295000,526 WINDSOR AVE. N.W.,NR      LAND & IMPROVEMENTS,,TV,2020
500300,7710288 A 5    SW-12-20-3-5,T,2,Residential,I  Individual,59900,119600,0,179500,512 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500310,7710288 A 4    SW-12-20-3-5,T,2,Residential,I  Individual,44000,120300,0,164300,514 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500320,7710288 A 3    SW-12-20-3-5,T,2,Residential,I  Individual,44000,128000,0,172000,516 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500330,7710288 A 2    SW-12-20-3-5,T,2,Residential,I  Individual,59900,119200,0,179100,518 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500340,7710288 A 1    SE-12-20-3-5,T,2,Residential,I  Individual,117900,211200,0,329100,102 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
600010,2474DN A 1    SE-12-20-3-5,T,3,Commercial,I  Individual,0,0,324100,324100,146 MAIN ST. N.W.,NR      LAND & IMPROVEMENTS,Canadian Pizza Unlimided / Suite on back,TV,2020
600015,2474DN 10'A 10    SE-12-20-3-5,T,3,Commercial,I  Individual,3000,0,0,3000,103 EDGAR AVE. N.W.,NR      LAND,,TV,2020
600020,2474DN A 1-3    SE-12-20-3-5,T,3,Commercial,I  Individual,0,0,385500,385500,105 EDGAR AVE. N.W.,NR      LAND & IMPROVEMENTS,,TV,2020
600030,0311914 26 34    SE-12-20-3-5,T,3,Commercial,I  Individual,0,0,365000,365000,140 MAIN ST. N.W.,NR      LAND & IMPROVEMENTS,TURNER VALLEY BUSINESS OFFICES,TV,2020
600040,0311914 26 35    SE-12-20-3-5,T,3,Commercial,I  Individual,130900,0,0,130900,136 Main Street NW,NR      LAND,VACANT LOT NORTH OF POST OFFICE,TV,2020
600050,"2474DN  6,7    SE-12-20-3-5",T,3,Commercial,I  Individual,0,0,216900,216900,132 MAIN ST. N.W.,NR      LAND & IMPROVEMENTS,POST OFFICE - TURNER VALLEY,TV,2020
600060,2474DN  8-10    SE-12-20-3-5,T,3,Commercial,C  Corporation,0,0,327600,327600,128 MAIN ST. N.W.,NR      LAND & IMPROVEMENTS,Real Estate and Accounting Office,TV,2020
600070,2474DN  10-13    SE-12-20-3-5,T,3,Commercial,I  Individual,0,0,626500,626500,118 MAIN ST. N.W.,NR      LAND & IMPROVEMENTS,,TV,2020
600075,2474DN Lane 13-14    SE-12-20-3-5,E,10,Municipal Public Lands-Exempt,M  Municipal,85500,0,0,85500,114 Main Street NW,NR      LAND,Day Care Play Ground on Town Land,TV,2020
600080,2474DN  14    SE-12-20-3-5,T,3,Commercial,I  Individual,103600,0,0,103600,112 MAIN ST. N.W.,NR      LAND,,TV,2020
600085,2474DN  15    SE-12-20-3-5,T,3,Commercial,I  Individual,103600,0,0,103600,111 Main Street NW,NR      LAND,,TV,2020
600090,2474DN  16    SE-12-20-3-5,T,3,Commercial,I  Individual,103600,0,0,103600,108 MAIN ST. N.W.,NR      LAND,,TV,2020
600095,2474DN  17    SE-12-20-3-5,T,3,Commercial,I  Individual,103600,0,0,103600,107 Main St. NW,NR      LAND,,TV,2020
600100,"2474DN  18,19    SE-12-20-3-5",T,3,Commercial,I  Individual,0,0,483800,483800,104 MAIN ST. N.W.,NR      LAND & IMPROVEMENTS,,TV,2020
600105,2474DN  20    SE-12-20-3-5,T,3,Commercial,I  Individual,104900,0,0,104900,102 MAIN ST. N.W.,NR      LAND,PARKING LOT SOUTH OF ROYAL BANK,TV,2020
600110,2474DN  21-24    SE-12-20-3-5,T,3,Commercial,I  Individual,0,0,458400,458400,104 SUNSET BLVD. N.W.,NR      LAND & IMPROVEMENTS,BLUE METAL CLAD SHOP AS A STRIP MALL,TV,2020
600130,"2474DN  25,26    SE-12-20-3-5",T,3,Commercial,I  Individual,0,0,320900,320900,112 SUNSET BLVD. N.W.,NR      LAND & IMPROVEMENTS,,TV,2020
600140,"2474DN  27,28    SE-12-20-3-5",T,3,Commercial,I  Individual,0,0,132100,132100,116 SUNSET BLVD. N.W.,NR      LAND & IMPROVEMENTS,,TV,2020
600150,2474DN  29    SE-12-20-3-5,T,3,Commercial,I  Individual,85000,0,0,85000,120 SUNSET BLVD. N.W.,NR      LAND,,TV,2020
600154,"2474DN  30,31    SE-12-20-3-5",T,3,Commercial,I  Individual,117900,0,0,117900,122 SUNSET BLVD. N.W.,NR      LAND,,TV,2020
600157,2474DN  32    SE-12-20-3-5,T,3,Commercial,I  Individual,85000,0,0,85000,126 SUNSET BLVD. N.W.,NR      LAND,,TV,2020
600160,2474DN  33    SE-12-20-3-5,T,2,Residential,I  Individual,14910,42300,0,57210,130 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
600160,2474DN  33    SE-12-20-3-5,E,11,Institutional,I  Individual,72790,236800,0,309590,130 SUNSET BLVD. N.W.,NR,,TV,2020
602010,7423DQ 2 1-3    SE-12-20-3-5,T,2,Residential,I  Individual,92600,77600,0,170200,318 MAIN ST. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602020,"7423DQ 2 4,5    SE-12-20-3-5",T,3,Commercial,I  Individual,82700,85300,0,168000,314 MAIN ST. N.W.,NR      LAND & IMPROVEMENTS,CANDY STORE - FORMER OLD RESIDENCE,TV,2020
602040,7423DQ 2 6-9    SE-12-20-3-5,T,2,Residential,I  Individual,98400,115600,0,214000,306 MAIN ST. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602050,"7423DQ 2 10,11    SE-12-20-3-5",T,3,Commercial,I  Individual,0,0,340400,340400,302 MAIN ST. N.W.,NR      LAND & IMPROVEMENTS,PLANET PETROLEUM AND AUTO WORKS SHOP,TV,2020
602060,"8054EK 2 12,E13    SE-12-20-3-5",T,2,Residential,I  Individual,82000,132400,0,214400,108 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602070,"8054EK 2 13,14    SE-12-20-3-5",T,2,Residential,I  Individual,82000,192600,0,274600,110 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602080,"8054EK 2 15,16    SE-12-20-3-5",T,2,Residential,I  Individual,89100,174200,0,263300,112 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602090,"8054EK 2 17,P18    SE-12-20-3-5",T,2,Residential,I  Individual,72300,244000,0,316300,114 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602100,"8054EK 2 P18,19    SE-12-20-3-5",T,2,Residential,I  Individual,58500,70300,0,128800,116 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602110,"8054EK 2 19,20    SE-12-20-3-5",T,2,Residential,I  Individual,82000,220500,0,302500,118 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602120,8054EK 2 21    SE-12-20-3-5,T,2,Residential,I  Individual,58500,164600,0,223100,120 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602130,"8054EK 2 22,23    SE-12-20-3-5",T,2,Residential,I  Individual,87700,28400,0,116100,122 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602140,"8054EK 2 23,24    SE-12-20-3-5",T,2,Residential,I  Individual,49200,82200,0,131400,124 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602150,8054EK 2 25-W27    SE-12-20-3-5,E,11,Institutional,I  Individual,101400,837000,0,938400,125 ROYAL AVE. N.W.,NR      LAND & IMPROVEMENTS,"LOTS 25, 26, WEST HALF OF 27",TV,2020
602160,8054EK 2 27-29    SE-12-20-3-5,T,2,Residential,I  Individual,93400,120800,0,214200,115 ROYAL AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602170,8054EK 2 29-31    SE-12-20-3-5,T,2,Residential,I  Individual,92100,214800,0,306900,113 ROYAL AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602180,"8054EK 2 31,32    SE-12-20-3-5",T,2,Residential,I  Individual,86200,175800,0,262000,111 ROYAL AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602190,"8054EK 2 33,P34    SE-12-20-3-5",T,2,Residential,I  Individual,86700,107400,0,194100,109 ROYAL AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602200,"8054EK 2 34,35    SE-12-20-3-5",T,2,Residential,I  Individual,86200,102400,0,188600,107 ROYAL AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
602210,8054EK 2 36    SE-12-20-3-5,T,2,Residential,I  Individual,69500,183600,0,253100,105 ROYAL AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603000,7423DQ 3 1-3    SE-12-20-3-5,T,3,Commercial,I  Individual,124500,0,0,124500,230 Main Street NW,NR      LAND,Excepting out South 3' of Lot 3,TV,2020
603010,7423DQ 3 3-5    SE-12-20-3-5,T,3,Commercial,I  Individual,107500,0,0,107500,220 MAIN ST. N.W.,NR      LAND,,TV,2020
603030,"7423DQ 3 6,7    SE-12-20-3-5",T,3,Commercial,I  Individual,104700,0,0,104700,210 MAIN ST. N.W.,NR      LAND,SHOPRITE STORE WOOD WAREHOUSE,TV,2020
603040,"7423DQ 3 8,9    SE-12-20-3-5",T,3,Commercial,I  Individual,0,0,237500,237500,206 MAIN ST. N.W.,NR      LAND & IMPROVEMENTS,LIQUOR STORE - TURNER VALLEY MAIN STREET,TV,2020
603050,"7423DQ 3 10,11    SE-12-20-3-5",T,3,Commercial,I  Individual,0,0,360000,360000,202 MAIN STREET NORTH WEST,NR      LAND & IMPROVEMENTS,,TV,2020
603060,2229EW 3 12    SE-12-20-3-5,T,2,Residential,I  Individual,83700,128500,0,212200,108 EDGAR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603070,2229EW 3 13    SE-12-20-3-5,T,2,Residential,I  Individual,83700,99700,0,183400,110 EDGAR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603080,"2229EW 3 14,15    SE-12-20-3-5",T,2,Residential,I  Individual,89800,166400,0,256200,114 EDGAR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603090,"2229EW 3 16,17    SE-12-20-3-5",T,2,Residential,I  Individual,89500,152000,0,241500,118 EDGAR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603100,2229EW 3 18    SE-12-20-3-5,T,2,Residential,I  Individual,61800,69600,0,131400,120 EDGAR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603110,"2229EW 3 19,P20    SE-12-20-3-5",T,2,Residential,I  Individual,87900,214500,0,302400,122 EDGAR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603120,2229EW 3 PT20    SE-12-20-3-5,T,2,Residential,I  Individual,83700,208700,0,292400,124 EDGAR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603130,2229EW 3 21    SE-12-20-3-5,T,2,Residential,I  Individual,86200,96800,0,183000,201 HUBERT ST. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603140,2229EW 3 22    SE-12-20-3-5,T,2,Residential,I  Individual,75200,114200,0,189400,121 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603150,2229EW 3 23    SE-12-20-3-5,T,2,Residential,I  Individual,84200,245000,0,329200,119 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603160,2229EW 3 24    SE-12-20-3-5,T,2,Residential,I  Individual,84200,112200,0,196400,117 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603170,2229EW 3 25    SE-12-20-3-5,T,2,Residential,I  Individual,73800,113000,0,186800,115 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603175,2229EW 3 25-27    SE-12-20-3-5,T,2,Residential,I  Individual,94500,35200,0,129700,113 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603190,"2229EW 3 28,29    SE-12-20-3-5",T,2,Residential,I  Individual,91000,75300,0,166300,109 FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603200,2229EW 3 W.30    SE-12-20-3-5,T,2,Residential,I  Individual,58000,146800,0,204800,107B FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603210,2229EW 3 E.30    SE-12-20-3-5,T,2,Residential,I  Individual,58000,146800,0,204800,107A FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603220,2229EW 3 W31    SE-12-20-3-5,T,2,Residential,I  Individual,60200,147600,0,207800,105B FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
603230,2229EW 3 E31    SE-12-20-3-5,T,2,Residential,I  Individual,60200,147600,0,207800,105A FRONTENAC AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604010,"7423DQ 4 1,2    SE-12-20-3-5",T,2,Residential,I  Individual,89100,129100,0,218200,210 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604020,7423DQ 4 3    SE-12-20-3-5,T,2,Residential,I  Individual,67300,47200,0,114500,212 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604030,"7423DQ 4 4,P5    SE-12-20-3-5",T,2,Residential,I  Individual,82000,108600,0,190600,214 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604040,"7423DQ 4 W5,6    SE-12-20-3-5",T,2,Residential,I  Individual,82000,178900,0,260900,216 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604050,7423DQ 4 7    SE-12-20-3-5,T,2,Residential,I  Individual,58500,42300,0,100800,218 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604060,7423DQ 4 8    SE-12-20-3-5,T,2,Residential,I  Individual,58500,38500,0,97000,220 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604070,"7423DQ 4 9,10    SE-12-20-3-5",T,2,Residential,I  Individual,89100,78200,0,167300,222 SUNSET BLVD. NW,R        LAND & IMPROVEMENTS,,TV,2020
604080,7423DQ 4 11-12    SE-12-20-3-5,T,2,Residential,I  Individual,89100,140600,0,229700,224 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604090,7423DQ 4 13    SE-12-20-3-5,T,2,Residential,I  Individual,83900,138500,0,222400,226 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604100,8054EK 4 14    SE-12-20-3-5,T,2,Residential,I  Individual,87100,151100,0,238200,202 Sunset Blvd. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604105,"8054EK 4 14,15    SE-12-20-3-5",T,2,Residential,I  Individual,88900,126800,0,215700,204 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604110,"8054EK 4 15,16    SE-12-20-3-5",T,2,Residential,I  Individual,82300,148900,0,231200,206 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604120,8054EK 4 17    SE-12-20-3-5,T,2,Residential,I  Individual,82700,112400,0,195100,208 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604130,8054EK 4 PT18    SE-12-20-3-5,T,2,Residential,I  Individual,96900,55000,0,151900,106 HUBERT ST. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604140,3603FD 4 19    SE-12-20-3-5,T,2,Residential,I  Individual,112800,509200,0,622000,201 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604150,9212439 4 18A    SE-12-20-3-5,T,2,Residential,I  Individual,82700,35800,0,118500,203 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604160,"3603FD 4 20,P21    SE-12-20-3-5",T,2,Residential,I  Individual,84700,78500,0,163200,207 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604170,"3603FD 4 P21,22    SE-12-20-3-5",T,2,Residential,I  Individual,97500,139400,0,236900,211 WINDSOR AVE. NW,R        LAND & IMPROVEMENTS,,TV,2020
604180,1178LK 4 23A    SE-12-20-3-5,T,2,Residential,I  Individual,92600,238600,0,331200,213 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604190,1178LK 4 24A    SE-12-20-3-5,T,2,Residential,I  Individual,92600,176900,0,269500,215 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604200,3603FD 4 26    SE-12-20-3-5,T,2,Residential,I  Individual,82700,68200,0,150900,217 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604210,3603FD 4 27    SE-12-20-3-5,T,2,Residential,I  Individual,82700,157100,0,239800,219 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
604220,3603FD 4 28    SE-12-20-3-5,T,2,Residential,I  Individual,82700,197500,0,280200,221 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605010,"7423DQ 5 1,E2    SE-12-20-3-5",T,2,Residential,I  Individual,90400,96400,0,186800,302 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605020,7423DQ 5 2-4    SE-12-20-3-5,T,2,Residential,I  Individual,105300,114800,0,220100,304 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605030,"7423DQ 5 5,6    SE-12-20-3-5",T,2,Residential,I  Individual,98100,187600,0,285700,306 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605040,"7423DQ 5 7,EB    SE-12-20-3-5",T,2,Residential,I  Individual,90400,80800,0,171200,308 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605050,"7423DQ 5 W8,9    SE-12-20-3-5",T,2,Residential,I  Individual,90400,115000,0,205400,310 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605060,"7423DQ 5 10,11    SE-12-20-3-5",T,2,Residential,I  Individual,98100,106200,0,204300,312 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605070,9311679 5 34    SE-12-20-3-5,T,2,Residential,I  Individual,90200,85000,0,175200,314 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605075,9311679 5 35    SE-12-20-3-5,T,2,Residential,I  Individual,90200,176600,0,266800,316 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605078,7423DQ 5 15-17    SE-12-20-3-5,T,2,Residential,I  Individual,108200,124100,0,232300,320 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605090,"7423DQ 5 18,19    SE-12-20-3-5",T,2,Residential,I  Individual,98100,73100,0,171200,324 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605100,7423DQ 5 20    SE-12-20-3-5,T,2,Residential,I  Individual,64500,99100,0,163600,328 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605110,"3603FD 5 21,W22    SE-12-20-3-5",T,2,Residential,I  Individual,106000,208100,0,314100,321 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,WEST HALF OF LOT 21 AND LOT 22,TV,2020
605120,3603FD 5 E22P23    SE-12-20-3-5,T,2,Residential,I  Individual,97600,115900,0,213500,319 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605125,"3603FD 5 P23,24    SE-12-20-3-5",T,2,Residential,I  Individual,95400,198100,0,293500,317 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605130,3603FD 5 25    SE-12-20-3-5,T,2,Residential,I  Individual,91100,164900,0,256000,315 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605135,3603FD 5 W26    SE-12-20-3-5,T,2,Residential,I  Individual,84100,216400,0,300500,313 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605140,"3603FD 5 E26,27    SE-12-20-3-5",T,2,Residential,I  Individual,93200,178500,0,271700,311 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605150,3603FD 5 28    SE-12-20-3-5,T,2,Residential,I  Individual,91100,150400,0,241500,309 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605160,"3603FD 5 29,W30    SE-12-20-3-5",T,2,Residential,I  Individual,102000,168800,0,270800,307 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
605170,"3603FD 5 E30,31    SE-12-20-3-5",T,2,Residential,I  Individual,102000,145600,0,247600,305 WINDSOR AVE. NW,R        LAND & IMPROVEMENTS,,TV,2020
605180,"3603FD 5 32,33    SE-12-20-3-5",T,2,Residential,I  Individual,116000,384300,0,500300,301 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606010,3138FM 6 E1    SE-12-20-3-5,T,2,Residential,I  Individual,81000,124600,0,205600,401A WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606020,3138FM 6 W1    SE-12-20-3-5,T,2,Residential,I  Individual,81000,114800,0,195800,401B WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606030,3138FM 6 2    SE-12-20-3-5,T,2,Residential,I  Individual,102000,115100,0,217100,403 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606040,3138FM 6 3    SE-12-20-3-5,E,11,Institutional,P  Provincial,106500,418900,0,525400,405 WINDSOR AVE. N.W.,NR      LAND & IMPROVEMENTS,,TV,2020
606050,"3138FM 6 4,5    SE-12-20-3-5",T,2,Residential,I  Individual,108400,205300,0,313700,407 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606060,3138FM 6 6    SE-12-20-3-5,T,2,Residential,I  Individual,91100,203500,0,294600,411 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606070,3138FM 6 7    SE-12-20-3-5,T,2,Residential,I  Individual,91100,160800,0,251900,413 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606080,3138FM 6 8    SE-12-20-3-5,T,2,Residential,I  Individual,91100,143200,0,234300,415 WINSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606090,3138FM 6 9    SE-12-20-3-5,T,2,Residential,I  Individual,91100,172800,0,263900,417 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606510,"7423DQ 6 1,2    SE-12-20-3-5",T,2,Residential,I  Individual,81300,37900,0,119200,402 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606520,"7423DQ 6 W2,3    SE-12-20-3-5",T,2,Residential,I  Individual,93700,158300,0,252000,404 SUNSET BOULEVARD N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606525,7423DQ 6 4-6    SE-12-20-3-5,T,2,Residential,I  Individual,108200,168200,0,276400,406 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606540,"7423DQ 6 7,8    SE-12-20-3-5",T,2,Residential,I  Individual,98100,143800,0,241900,410 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606550,"7423DQ 6 9,P10    SE-12-20-3-5",T,2,Residential,I  Individual,90400,55700,0,146100,414 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606560,"7423DQ 6 10,11    SE-12-20-3-5",T,2,Residential,I  Individual,90400,152500,0,242900,416 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606570,"7423DQ 6 12,13    SE-12-20-3-5",T,2,Residential,I  Individual,90400,126300,0,216700,418 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
606580,7423DQ 6 13-15    SE-12-20-3-5,T,2,Residential,I  Individual,98100,100600,0,198700,420 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
